반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
액트로,맥스트,에이치와이티씨,토비스,에이루트,,흥구석유,비에이치아이,,,,,,,HS애드,,푸드웰,동원수산,DSEN,우리금융지주,,DSC인베스트먼트,메리츠금융지주,,금강철강,세아메카닉스,,금강철강,레이크머티리얼즈,성광벤드,동방선기,현대미포조선,DRB동일,핸즈코퍼레이션,인디에프,삼보모터스,크레버스,CMG제약,올릭스
칩스앤미디어,이스트소프트,팅크웨어,루멘스,S&K폴리텍,,태웅,이아이디,,,,,,,씨씨에스,,대상,동원산업,동서,DGB금융지주,,나우IB,삼성생명,,조일알미늄,태림포장,,하이스틸,동국산업,로보티즈,에코프로에이치엔,현대리바트,코스맥스,코스맥스,이상네트웍스,오리엔트정공,이퓨쳐,메디톡스,경보제약
원익홀딩스,엑스페릭스,디에이테크놀로지,디아이티,씨유테크,,서남,SK이노베이션,,,,,,,스튜디오드래곤,,카나리아바이오,동서,신라에스지,미래에셋증권,,우리벤처파트너스,미래에셋생명,,애경케미칼,원림,,동국산업,세토피아,대동기어,한미글로벌,제노코,부방,롯데관광개발,아난티,동아타이어,케이티알파,대한약품,셀트리온
비씨엔씨,신세계,퓨런티어,AP시스템,센서뷰,,GS,GS,,,,,,,티와이홀딩스,,MH에탄올,마니커,,DB금융투자,,유화증권,동양생명,,롯데정밀화학,케이피티유,,제이스코홀딩스,리더스코스메틱,뉴보텍,쏘카,그린플러스,디와이씨,골프존뉴딘홀딩스,광주신세계,대성파인텍,메가스터디교육,유비케어,제넥신
시그네틱스,오픈베이스,홈캐스트,미래컴퍼니,케스피온,,씨에스윈드,스페코,,,,,,,KNN,,CJ프레시웨이,엠에스씨,,상상인,,NH투자증권,에이플러스에셋,,DL,한창제지,,대한제강,한농화성,화천기공,NICE평가정보,코오롱,THE MIDONG,삼보모터스,실리콘투,현대공업,BGF리테일,비스토스,차바이오텍
에이피티씨,아남전자,필옵틱스,디지아이,빅솔론,,SK디스커버리,에스에너지,,,,,,,삼화네트웍스,,보라티알,삼양사,,한국금융지주,,BNK금융지주,우리금융지주,,레이크머티리얼즈,아세아제지,,현대비앤지스틸,테이팩스,대양전기공업,LX홀딩스,에이치케이,삼보모터스,동아타이어,NE능률,다산솔루에타,아이비김영,경보제약,비올
미코,솔트웨어,신흥에스이씨,에프엔에스테크,퓨런티어,,에코바이오,에코바이오,,,,,,,넵튠,,롯데웰푸드,진로발효,,푸른저축은행,,메이슨캐피탈,현대해상,,동국산업,풍산,,세토피아,SUN&L,GS글로벌,한국종합기술,현대글로비스,오리엔트정공,엑서지21,호텔신라,계양전기,대교,올릭스,에이비엘바이오
네패스아크,위세아이텍,모아데이타,필옵틱스,남성,,,수산인더스트리,,,,,,,드래곤플라이,,조흥,대한제당,,신한지주,,다올투자증권,DGB금융지주,,고려아연,금비,,KISCO홀딩스,세아메카닉스,금화피에스시,제주항공,한화에어로스페이스,동아타이어,현대공업,아이스크림에듀,HDC현대EP,NE능률,셀바스헬스케어,고려제약
큐알티,서울반도체,엘디티,아이엘사이언스,에스에이티,,,지오릿에너지,,,,,,,위메이드맥스,,팜스코,크라운해태홀딩스,,유안타증권,,삼성카드,DB금융투자,,현대비앤지스틸,삼아알미늄,,화인베스틸,석경에이티,알에스오토메이션,로보티즈,한라IMS,엑서지21,계양전기,청담글로벌,경동나비엔,골드앤에스,셀트리온,옵티팜
메카로,라이콤,성일하이텍,톱텍,디티앤씨,,,,,,,,,,탑코미디어,,에스앤디,하이트진로,,KB금융,,제주은행,미래에셋증권,,세토피아,황금에스티,,문배철강,에스폴리텍,양지사,동아지질,에코프로에이치엔,대성파인텍,전방,유비온,에스제이그룹,멀티캠퍼스,이루다,네오펙트
디에이테크놀로지,헥토이노베이션,휴맥스,오성첨단소재,리튬포어스,,,,,,,,,,엔씨소프트,,풀무원,신송홀딩스,,엠벤처투자,,코리안리,롯데손해보험,,대호에이엘,서원,,고려제강,유니드,SK,HD현대인프라코어,한미글로벌,현대공업,HDC현대EP,삼성출판사,대동금속,,제넥신,한미약품
